number,origin,destination,code,distance,duration,toll
0,"106.57485,29.733029","106.384825,29.676384",0,28531,2280,0
1,"106.57485,29.733029","106.556809,29.517229",0,33737,3120,0
2,"106.57485,29.733029","106.569953,29.481373",0,36035,3420,0
3,"106.57485,29.733029","106.515487,29.624322",0,18903,1680,0
4,"106.57485,29.733029","106.563185,29.465776",0,39249,3780,0
5,"106.57485,29.733029","106.794496,29.687276",0,34409,2340,0
6,"106.57485,29.733029","106.56982,29.584005",0,26351,2400,0
7,"106.57485,29.733029","106.423114,29.838559",0,35963,2700,0
8,"106.57485,29.733029","106.483385,29.629215",0,18746,1680,0
9,"106.57485,29.733029","106.411922,29.810434",0,31544,2160,0
10,"106.57485,29.733029","106.545594,29.500913",0,35778,3420,0
11,"106.57485,29.733029","106.372849,29.634566",0,37912,2580,0
12,"106.57485,29.733029","106.537811,29.590335",0,21062,2040,0
13,"106.57485,29.733029","106.575366,29.577498",0,25544,2340,0
14,"106.57485,29.733029","106.633012,29.717755",0,7702,1020,0
15,"106.57485,29.733029","106.549654,29.612006",0,20837,2160,0
16,"106.57485,29.733029","106.645588,29.765431",0,13736,1680,0
17,"106.57485,29.733029","106.524153,29.385368",0,51299,5400,0
18,"106.57485,29.733029","106.532099,29.51222",0,32384,3120,0
19,"106.57485,29.733029","106.516043,29.622297",0,18692,1740,0
20,"106.57485,29.733029","106.587459,29.543327",0,31572,3060,0
21,"106.57485,29.733029","106.820019,29.693393",0,38833,2580,0
22,"106.57485,29.733029","106.60369,29.632117",0,27002,2700,0
23,"106.57485,29.733029","106.47412,29.76077",0,18001,1620,0
24,"106.57485,29.733029","106.307813,29.55804",0,51353,3480,0
25,"106.57485,29.733029","106.577512,29.691415",0,8112,960,0
26,"106.57485,29.733029","106.543839,29.473039",0,37531,3660,0
27,"106.57485,29.733029","106.494448,29.454464",0,41801,3840,0
28,"106.57485,29.733029","106.549381,29.52491",0,31542,3120,0
29,"106.57485,29.733029","106.311379,29.681187",0,34782,2400,0
30,"106.57485,29.733029","106.50355,29.606218",0,19070,1860,0
31,"106.57485,29.733029","106.488323,29.702462",0,16610,1440,0
32,"106.57485,29.733029","106.464633,29.556611",0,29618,2940,0
33,"106.57485,29.733029","106.487723,29.464073",0,36840,3660,0
34,"106.57485,29.733029","106.515357,29.501573",0,34121,3180,0
35,"106.57485,29.733029","106.800921,29.652905",0,35424,2340,0
36,"106.57485,29.733029","106.340831,29.626253",0,39162,2580,0
37,"106.57485,29.733029","106.244431,29.481045",0,63983,4080,0
38,"106.57485,29.733029","106.494448,29.454464",0,41801,3840,0
39,"106.57485,29.733029","106.488323,29.702462",0,16610,1440,0
40,"106.57485,29.733029","106.595651,29.423402",0,48047,4740,0
41,"106.57485,29.733029","106.767814,29.628511",0,34389,2580,0
42,"106.57485,29.733029","106.43982,29.667897",0,23630,2160,0
43,"106.57485,29.733029","106.478925,29.554136",0,28389,2760,0
44,"106.57485,29.733029","106.478925,29.554136",0,28389,2760,0
45,"106.57485,29.733029","106.549354,29.560878",0,26508,2700,0
46,"106.57485,29.733029","106.591757,29.56081",0,29646,3240,0
47,"106.57485,29.733029","106.744944,29.609495",0,34315,2520,0
48,"106.57485,29.733029","106.508461,29.602091",0,19832,1980,0
49,"106.57485,29.733029","106.535587,29.807428",0,14845,1260,0
50,"106.57485,29.733029","106.645811,29.48559",0,44240,3420,0
51,"106.57485,29.733029","106.772502,29.681089",0,32702,2220,0
52,"106.57485,29.733029","106.580104,29.560173",0,27847,3000,0
53,"106.57485,29.733029","106.450784,29.46597",0,41733,4020,0
54,"106.57485,29.733029","106.51557,29.585954",0,22994,2160,0
55,"106.57485,29.733029","106.44339,29.833109",0,33800,2640,0
56,"106.57485,29.733029","106.565222,29.664372",0,14360,1320,0
57,"106.57485,29.733029","106.494448,29.454464",0,41801,3840,0
58,"106.57485,29.733029","106.509122,29.615086",0,19270,1800,0
59,"106.57485,29.733029","106.508461,29.602091",0,19832,1980,0
60,"106.57485,29.733029","106.508461,29.602091",0,19832,1980,0
61,"106.57485,29.733029","106.514249,29.582631",0,23578,2220,0
62,"106.57485,29.733029","106.508461,29.602091",0,19832,1980,0
63,"106.57485,29.733029","106.6134,29.688502",0,12152,1560,0
64,"106.57485,29.733029","106.453638,29.650345",0,25267,2340,0
65,"106.57485,29.733029","106.626114,29.398649",0,58715,5880,0
66,"106.57485,29.733029","106.533997,29.565588",0,25264,2520,0
67,"106.57485,29.733029","106.551843,29.650122",0,18935,1920,0
68,"106.57485,29.733029","106.581698,29.520627",0,35531,3420,0
69,"106.57485,29.733029","106.52288,29.550783",0,27425,2700,0
70,"106.57485,29.733029","106.512547,29.511351",0,32475,3000,0
71,"106.57485,29.733029","106.473207,29.564749",0,27301,2640,0
72,"106.57485,29.733029","106.481465,29.771363",0,19556,1800,0
73,"106.57485,29.733029","106.481465,29.771363",0,19556,1800,0
74,"106.57485,29.733029","106.641637,29.612773",0,26113,2100,0
75,"106.57485,29.733029","106.55654,29.562133",0,27042,2760,0
76,"106.57485,29.733029","106.57571,29.580888",0,26164,2400,0
77,"106.57485,29.733029","106.575313,29.577264",0,25540,2340,0
78,"106.57485,29.733029","106.577057,29.578312",0,26590,2460,0
79,"106.57485,29.733029","106.324981,29.525253",0,50867,3360,0
80,"106.57485,29.733029","106.54485,29.416135",0,43900,4380,0
81,"106.57485,29.733029","106.538812,29.657252",0,17569,1920,0
82,"106.57485,29.733029","106.538812,29.657252",0,17569,1920,0
83,"106.57485,29.733029","106.590121,29.568028",0,31172,3180,0
84,"106.57485,29.733029","106.487157,29.628072",0,17714,1620,0
85,"106.57485,29.733029","106.524603,29.541083",0,31574,3300,0
86,"106.57485,29.733029","106.524603,29.541083",0,31574,3300,0
87,"106.57485,29.733029","106.539246,29.599319",0,20093,1800,0
88,"106.57485,29.733029","105.738583,29.70041",0,133563,10620,0
89,"106.57485,29.733029","106.496322,29.619746",0,18508,1800,0
90,"106.57485,29.733029","106.54746,29.415515",0,44209,4440,0
91,"106.57485,29.733029","106.505464,29.554275",0,29308,2940,0
92,"106.57485,29.733029","106.424981,29.816815",0,32918,2400,0
93,"106.57485,29.733029","106.437744,29.834768",0,33949,2520,0
94,"106.57485,29.733029","105.70941,29.703558",0,140011,11400,0
95,"106.57485,29.733029","106.453589,29.540679",0,30834,3240,0
96,"106.57485,29.733029","106.412223,29.811194",0,31543,2220,0
97,"106.57485,29.733029","106.556505,29.562989",0,26814,2700,0
98,"106.57485,29.733029","106.543865,29.425925",0,42582,4140,0
99,"106.57485,29.733029","106.543865,29.425925",0,42582,4140,0
0,"106.384825,29.676384","106.556809,29.517229",0,34095,3060,0
1,"106.384825,29.676384","106.57485,29.733029",0,27296,2340,0
2,"106.384825,29.676384","106.569953,29.481373",0,38944,3600,0
3,"106.384825,29.676384","106.515487,29.624322",0,21812,1860,0
4,"106.384825,29.676384","106.563185,29.465776",0,42158,3960,0
5,"106.384825,29.676384","106.794496,29.687276",0,47710,3420,0
6,"106.384825,29.676384","106.56982,29.584005",0,29260,2580,0
7,"106.384825,29.676384","106.423114,29.838559",0,23509,1920,0
8,"106.384825,29.676384","106.483385,29.629215",0,16005,1260,0
9,"106.384825,29.676384","106.411922,29.810434",0,19090,1440,0
10,"106.384825,29.676384","106.545594,29.500913",0,34928,3180,0
11,"106.384825,29.676384","106.372849,29.634566",0,6586,960,0
12,"106.384825,29.676384","106.537811,29.590335",0,23971,2160,0
13,"106.384825,29.676384","106.575366,29.577498",0,28453,2520,0
14,"106.384825,29.676384","106.633012,29.717755",0,31877,2880,0
15,"106.384825,29.676384","106.549654,29.612006",0,23746,2400,0
16,"106.384825,29.676384","106.645588,29.765431",0,37911,3540,0
17,"106.384825,29.676384","106.524153,29.385368",0,51633,4740,0
18,"106.384825,29.676384","106.532099,29.51222",0,32507,2940,0
19,"106.384825,29.676384","106.516043,29.622297",0,21574,1620,0
20,"106.384825,29.676384","106.587459,29.543327",0,34481,3240,0
21,"106.384825,29.676384","106.820019,29.693393",0,52134,3660,0
22,"106.384825,29.676384","106.60369,29.632117",0,40303,3720,0
23,"106.384825,29.676384","106.47412,29.76077",0,20410,1980,0
24,"106.384825,29.676384","106.307813,29.55804",0,19151,1980,0
25,"106.384825,29.676384","106.577512,29.691415",0,27571,2340,0
26,"106.384825,29.676384","106.543839,29.473039",0,38474,3600,0
27,"106.384825,29.676384","106.494448,29.454464",0,40951,3600,0
28,"106.384825,29.676384","106.549381,29.52491",0,33452,3120,0
29,"106.384825,29.676384","106.311379,29.681187",0,10319,1200,0
30,"106.384825,29.676384","106.50355,29.606218",0,21952,1740,0
31,"106.384825,29.676384","106.488323,29.702462",0,17171,1320,0
32,"106.384825,29.676384","106.464633,29.556611",0,26877,2520,0
33,"106.384825,29.676384","106.487723,29.464073",0,35990,3480,0
34,"106.384825,29.676384","106.515357,29.501573",0,33271,2940,0
35,"106.384825,29.676384","106.800921,29.652905",0,48725,3420,0
36,"106.384825,29.676384","106.340831,29.626253",0,10663,900,0
37,"106.384825,29.676384","106.244431,29.481045",0,35109,2580,0
38,"106.384825,29.676384","106.494448,29.454464",0,40951,3600,0
39,"106.384825,29.676384","106.488323,29.702462",0,17171,1320,0
40,"106.384825,29.676384","106.595651,29.423402",0,49419,4620,0
41,"106.384825,29.676384","106.767814,29.628511",0,47690,3660,0
42,"106.384825,29.676384","106.43982,29.667897",0,10567,1020,0
43,"106.384825,29.676384","106.478925,29.554136",0,27539,2580,0
44,"106.384825,29.676384","106.478925,29.554136",0,27539,2580,0
45,"106.384825,29.676384","106.549354,29.560878",0,28819,2820,0
46,"106.384825,29.676384","106.591757,29.56081",0,32555,3420,0
47,"106.384825,29.676384","106.744944,29.609495",0,47616,3600,0
48,"106.384825,29.676384","106.508461,29.602091",0,22714,1800,0
49,"106.384825,29.676384","106.535587,29.807428",0,30047,2160,0
50,"106.384825,29.676384","106.645811,29.48559",0,47149,3600,0
51,"106.384825,29.676384","106.772502,29.681089",0,46003,3300,0
52,"106.384825,29.676384","106.580104,29.560173",0,30756,3180,0
53,"106.384825,29.676384","106.450784,29.46597",0,40883,3840,0
54,"106.384825,29.676384","106.51557,29.585954",0,23776,2340,0
55,"106.384825,29.676384","106.44339,29.833109",0,21346,1920,0
56,"106.384825,29.676384","106.565222,29.664372",0,27661,2400,0
57,"106.384825,29.676384","106.494448,29.454464",0,40951,3600,0
58,"106.384825,29.676384","106.509122,29.615086",0,22152,1680,0
59,"106.384825,29.676384","106.508461,29.602091",0,22714,1800,0
60,"106.384825,29.676384","106.508461,29.602091",0,22714,1800,0
61,"106.384825,29.676384","106.514249,29.582631",0,23945,2340,0
62,"106.384825,29.676384","106.508461,29.602091",0,22714,1800,0
63,"106.384825,29.676384","106.6134,29.688502",0,30580,3060,0
64,"106.384825,29.676384","106.453638,29.650345",0,12151,1140,0
65,"106.384825,29.676384","106.626114,29.398649",0,60087,5700,0
66,"106.384825,29.676384","106.533997,29.565588",0,26173,2460,0
67,"106.384825,29.676384","106.551843,29.650122",0,21844,2100,0
68,"106.384825,29.676384","106.581698,29.520627",0,38927,3600,0
69,"106.384825,29.676384","106.52288,29.550783",0,29736,2820,0
70,"106.384825,29.676384","106.512547,29.511351",0,31625,2820,0
71,"106.384825,29.676384","106.473207,29.564749",0,24560,2220,0
72,"106.384825,29.676384","106.481465,29.771363",0,21965,2160,0
73,"106.384825,29.676384","106.481465,29.771363",0,21965,2160,0
74,"106.384825,29.676384","106.641637,29.612773",0,39414,3180,0
75,"106.384825,29.676384","106.55654,29.562133",0,29353,2880,0
76,"106.384825,29.676384","106.57571,29.580888",0,29073,2580,0
77,"106.384825,29.676384","106.575313,29.577264",0,28449,2520,0
78,"106.384825,29.676384","106.577057,29.578312",0,29499,2580,0
79,"106.384825,29.676384","106.324981,29.525253",0,21993,1860,0
80,"106.384825,29.676384","106.54485,29.416135",0,45272,4200,0
81,"106.384825,29.676384","106.538812,29.657252",0,20478,2040,0
82,"106.384825,29.676384","106.538812,29.657252",0,20478,2040,0
83,"106.384825,29.676384","106.590121,29.568028",0,34081,3360,0
84,"106.384825,29.676384","106.487157,29.628072",0,16318,1320,0
85,"106.384825,29.676384","106.524603,29.541083",0,30724,3060,0
86,"106.384825,29.676384","106.524603,29.541083",0,30724,3060,0
87,"106.384825,29.676384","106.539246,29.599319",0,23002,1920,0
88,"106.384825,29.676384","105.738583,29.70041",0,111863,9060,0
89,"106.384825,29.676384","106.496322,29.619746",0,19396,1740,0
90,"106.384825,29.676384","106.54746,29.415515",0,45581,4260,0
91,"106.384825,29.676384","106.505464,29.554275",0,28458,2760,0
92,"106.384825,29.676384","106.424981,29.816815",0,20464,1620,0
93,"106.384825,29.676384","106.437744,29.834768",0,21495,1740,0
94,"106.384825,29.676384","105.70941,29.703558",0,118311,9780,0
95,"106.384825,29.676384","106.453589,29.540679",0,28093,2820,0
96,"106.384825,29.676384","106.412223,29.811194",0,19089,1440,0
97,"106.384825,29.676384","106.556505,29.562989",0,29125,2820,0
98,"106.384825,29.676384","106.543865,29.425925",0,43954,4020,0
99,"106.384825,29.676384","106.543865,29.425925",0,43954,4020,0
0,"106.515487,29.624322","106.384825,29.676384",0,19033,1440,0
1,"106.515487,29.624322","106.556809,29.517229",0,19103,1860,0
2,"106.515487,29.624322","106.57485,29.733029",0,16936,1440,0
3,"106.515487,29.624322","106.569953,29.481373",0,21401,2160,0
4,"106.515487,29.624322","106.563185,29.465776",0,24615,2520,0
5,"106.515487,29.624322","106.794496,29.687276",0,34548,2460,0
6,"106.515487,29.624322","106.56982,29.584005",0,11717,1140,0
7,"106.515487,29.624322","106.423114,29.838559",0,37463,2820,0
8,"106.515487,29.624322","106.483385,29.629215",0,3996,480,0
9,"106.515487,29.624322","106.411922,29.810434",0,33044,2280,0
10,"106.515487,29.624322","106.545594,29.500913",0,19679,1860,0
11,"106.515487,29.624322","106.372849,29.634566",0,23480,2160,0
12,"106.515487,29.624322","106.537811,29.590335",0,6428,780,0
13,"106.515487,29.624322","106.575366,29.577498",0,10910,1140,0
14,"106.515487,29.624322","106.633012,29.717755",0,21517,1980,0
15,"106.515487,29.624322","106.549654,29.612006",0,6203,900,0
16,"106.515487,29.624322","106.645588,29.765431",0,27551,2640,0
17,"106.515487,29.624322","106.524153,29.385368",0,36384,3420,0
18,"106.515487,29.624322","106.532099,29.51222",0,17258,1620,0
19,"106.515487,29.624322","106.516043,29.622297",0,1305,120,0
20,"106.515487,29.624322","106.587459,29.543327",0,16938,1800,0
21,"106.515487,29.624322","106.820019,29.693393",0,38972,2700,0
22,"106.515487,29.624322","106.60369,29.632117",0,27141,2820,0
23,"106.515487,29.624322","106.47412,29.76077",0,19316,1740,0
24,"106.515487,29.624322","106.307813,29.55804",0,36072,3060,0
25,"106.515487,29.624322","106.577512,29.691415",0,14334,1380,0
26,"106.515487,29.624322","106.543839,29.473039",0,23225,2220,0
27,"106.515487,29.624322","106.494448,29.454464",0,25702,2280,0
28,"106.515487,29.624322","106.549381,29.52491",0,16908,1860,0
29,"106.515487,29.624322","106.311379,29.681187",0,28966,2220,0
30,"106.515487,29.624322","106.50355,29.606218",0,2971,480,0
31,"106.515487,29.624322","106.488323,29.702462",0,11312,960,0
32,"106.515487,29.624322","106.464633,29.556611",0,13510,1500,0
33,"106.515487,29.624322","106.487723,29.464073",0,20741,2160,0
34,"106.515487,29.624322","106.515357,29.501573",0,18022,1620,0
35,"106.515487,29.624322","106.800921,29.652905",0,35563,2520,0
36,"106.515487,29.624322","106.340831,29.626253",0,27584,1980,0
37,"106.515487,29.624322","106.244431,29.481045",0,52463,3540,0
38,"106.515487,29.624322","106.494448,29.454464",0,25702,2280,0
39,"106.515487,29.624322","106.488323,29.702462",0,11312,960,0
40,"106.515487,29.624322","106.595651,29.423402",0,33413,3480,0
41,"106.515487,29.624322","106.767814,29.628511",0,34528,2760,0
42,"106.515487,29.624322","106.43982,29.667897",0,14132,1320,0
43,"106.515487,29.624322","106.478925,29.554136",0,12290,1260,0
44,"106.515487,29.624322","106.478925,29.554136",0,12290,1260,0
45,"106.515487,29.624322","106.549354,29.560878",0,11811,1320,0
46,"106.515487,29.624322","106.591757,29.56081",0,15012,1980,0
47,"106.515487,29.624322","106.744944,29.609495",0,34454,2640,0
48,"106.515487,29.624322","106.508461,29.602091",0,3733,480,0
49,"106.515487,29.624322","106.535587,29.807428",0,25041,2040,0
50,"106.515487,29.624322","106.645811,29.48559",0,29606,2160,0
51,"106.515487,29.624322","106.772502,29.681089",0,32841,2400,0
52,"106.515487,29.624322","106.580104,29.560173",0,13213,1740,0
53,"106.515487,29.624322","106.450784,29.46597",0,25634,2520,0
54,"106.515487,29.624322","106.51557,29.585954",0,6768,900,0
55,"106.515487,29.624322","106.44339,29.833109",0,35300,2760,0
56,"106.515487,29.624322","106.565222,29.664372",0,14499,1440,0
57,"106.515487,29.624322","106.494448,29.454464",0,25702,2280,0
58,"106.515487,29.624322","106.509122,29.615086",0,1921,300,0
59,"106.515487,29.624322","106.508461,29.602091",0,3733,480,0
60,"106.515487,29.624322","106.508461,29.602091",0,3733,480,0
61,"106.515487,29.624322","106.514249,29.582631",0,7366,780,0
62,"106.515487,29.624322","106.508461,29.602091",0,3733,480,0
63,"106.515487,29.624322","106.6134,29.688502",0,17343,2100,0
64,"106.515487,29.624322","106.453638,29.650345",0,15769,1500,0
65,"106.515487,29.624322","106.626114,29.398649",0,44081,4620,0
66,"106.515487,29.624322","106.533997,29.565588",0,9165,960,0
67,"106.515487,29.624322","106.551843,29.650122",0,7255,840,0
68,"106.515487,29.624322","106.581698,29.520627",0,20897,2160,0
69,"106.515487,29.624322","106.52288,29.550783",0,12728,1320,0
70,"106.515487,29.624322","106.512547,29.511351",0,16376,1500,0
71,"106.515487,29.624322","106.473207,29.564749",0,11193,1200,0
72,"106.515487,29.624322","106.481465,29.771363",0,20871,1920,0
73,"106.515487,29.624322","106.481465,29.771363",0,20871,1920,0
74,"106.515487,29.624322","106.641637,29.612773",0,26252,2220,0
75,"106.515487,29.624322","106.55654,29.562133",0,12345,1380,0
76,"106.515487,29.624322","106.57571,29.580888",0,11530,1140,0
77,"106.515487,29.624322","106.575313,29.577264",0,10906,1080,0
78,"106.515487,29.624322","106.577057,29.578312",0,11956,1200,0
79,"106.515487,29.624322","106.324981,29.525253",0,39347,2760,0
80,"106.515487,29.624322","106.54485,29.416135",0,29266,3120,0
81,"106.515487,29.624322","106.538812,29.657252",0,7439,1080,0
82,"106.515487,29.624322","106.538812,29.657252",0,7439,1080,0
83,"106.515487,29.624322","106.590121,29.568028",0,16538,1920,0
84,"106.515487,29.624322","106.487157,29.628072",0,3796,360,0
85,"106.515487,29.624322","106.524603,29.541083",0,15475,1740,0
86,"106.515487,29.624322","106.524603,29.541083",0,15475,1740,0
87,"106.515487,29.624322","106.539246,29.599319",0,5459,540,0
88,"106.515487,29.624322","105.738583,29.70041",0,128784,10200,0
89,"106.515487,29.624322","106.496322,29.619746",0,2409,360,0
90,"106.515487,29.624322","106.54746,29.415515",0,29575,3180,0
91,"106.515487,29.624322","106.505464,29.554275",0,13209,1440,0
92,"106.515487,29.624322","106.424981,29.816815",0,34418,2520,0
93,"106.515487,29.624322","106.437744,29.834768",0,35449,2640,0
94,"106.515487,29.624322","105.70941,29.703558",0,135232,10860,0
95,"106.515487,29.624322","106.453589,29.540679",0,14726,1740,0
96,"106.515487,29.624322","106.412223,29.811194",0,33043,2340,0
97,"106.515487,29.624322","106.556505,29.562989",0,12117,1320,0
98,"106.515487,29.624322","106.543865,29.425925",0,27948,2880,0
99,"106.515487,29.624322","106.543865,29.425925",0,27948,2880,0
0,"106.556809,29.517229","106.384825,29.676384",0,34758,3120,0
1,"106.556809,29.517229","106.57485,29.733029",0,31553,3120,0
2,"106.556809,29.517229","106.569953,29.481373",0,8207,960,0
3,"106.556809,29.517229","106.515487,29.624322",0,17008,1980,0
4,"106.556809,29.517229","106.563185,29.465776",0,11421,1320,0
5,"106.556809,29.517229","106.794496,29.687276",0,46357,3000,0
6,"106.556809,29.517229","106.56982,29.584005",0,10031,1380,0
7,"106.556809,29.517229","106.423114,29.838559",0,57752,4620,0
8,"106.556809,29.517229","106.483385,29.629215",0,20365,2160,0
9,"106.556809,29.517229","106.411922,29.810434",0,53333,4140,0
10,"106.556809,29.517229","106.545594,29.500913",0,9182,1200,0
11,"106.556809,29.517229","106.372849,29.634566",0,39205,3780,0
12,"106.556809,29.517229","106.537811,29.590335",0,12427,1620,0
13,"106.556809,29.517229","106.575366,29.577498",0,9224,1320,0
14,"106.556809,29.517229","106.633012,29.717755",0,36134,3660,0
15,"106.556809,29.517229","106.549654,29.612006",0,14919,1980,0
16,"106.556809,29.517229","106.645588,29.765431",0,42168,4320,0
17,"106.556809,29.517229","106.524153,29.385368",0,23471,2880,0
18,"106.556809,29.517229","106.532099,29.51222",0,6761,960,0
19,"106.556809,29.517229","106.516043,29.622297",0,19559,1860,0
20,"106.556809,29.517229","106.587459,29.543327",0,8564,1140,0
21,"106.556809,29.517229","106.820019,29.693393",0,47512,3060,0
22,"106.556809,29.517229","106.60369,29.632117",0,32697,4080,0
23,"106.556809,29.517229","106.47412,29.76077",0,37557,3540,0
24,"106.556809,29.517229","106.307813,29.55804",0,43789,4020,0
25,"106.556809,29.517229","106.577512,29.691415",0,26228,3000,0
26,"106.556809,29.517229","106.543839,29.473039",0,7523,840,0
27,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0
28,"106.556809,29.517229","106.549381,29.52491",0,1617,480,0
29,"106.556809,29.517229","106.311379,29.681187",0,44691,3960,0
30,"106.556809,29.517229","106.50355,29.606218",0,17782,1920,0
31,"106.556809,29.517229","106.488323,29.702462",0,29553,2700,0
32,"106.556809,29.517229","106.464633,29.556611",0,15084,1980,0
33,"106.556809,29.517229","106.487723,29.464073",0,14406,1680,0
34,"106.556809,29.517229","106.515357,29.501573",0,7525,1020,0
35,"106.556809,29.517229","106.800921,29.652905",0,40789,3900,0
36,"106.556809,29.517229","106.340831,29.626253",0,43309,3660,0
37,"106.556809,29.517229","106.244431,29.481045",0,44856,4560,0
38,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0
39,"106.556809,29.517229","106.488323,29.702462",0,29553,2700,0
40,"106.556809,29.517229","106.595651,29.423402",0,20219,2280,0
41,"106.556809,29.517229","106.767814,29.628511",0,39754,4140,0
42,"106.556809,29.517229","106.43982,29.667897",0,29857,3000,0
43,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0
44,"106.556809,29.517229","106.478925,29.554136",0,14008,1740,0
45,"106.556809,29.517229","106.549354,29.560878",0,8920,1380,0
46,"106.556809,29.517229","106.591757,29.56081",0,9234,1800,0
47,"106.556809,29.517229","106.744944,29.609495",0,39680,4020,0
48,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
49,"106.556809,29.517229","106.535587,29.807428",0,41638,3660,0
50,"106.556809,29.517229","106.645811,29.48559",0,17108,1560,0
51,"106.556809,29.517229","106.772502,29.681089",0,46708,3000,0
52,"106.556809,29.517229","106.580104,29.560173",0,8611,1680,0
53,"106.556809,29.517229","106.450784,29.46597",0,17790,2160,0
54,"106.556809,29.517229","106.51557,29.585954",0,14987,1680,0
55,"106.556809,29.517229","106.44339,29.833109",0,55589,4620,0
56,"106.556809,29.517229","106.565222,29.664372",0,26393,3060,0
57,"106.556809,29.517229","106.494448,29.454464",0,15205,1620,0
58,"106.556809,29.517229","106.509122,29.615086",0,18112,1800,0
59,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
60,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
61,"106.556809,29.517229","106.514249,29.582631",0,13941,1380,0
62,"106.556809,29.517229","106.508461,29.602091",0,17018,1800,0
63,"106.556809,29.517229","106.6134,29.688502",0,25383,3420,0
64,"106.556809,29.517229","106.453638,29.650345",0,29602,2640,0
65,"106.556809,29.517229","106.626114,29.398649",0,30887,3360,0
66,"106.556809,29.517229","106.533997,29.565588",0,11346,1260,0
67,"106.556809,29.517229","106.551843,29.650122",0,21110,2580,0
68,"106.556809,29.517229","106.581698,29.520627",0,7430,840,0
69,"106.556809,29.517229","106.52288,29.550783",0,12316,1560,0
70,"106.556809,29.517229","106.512547,29.511351",0,7715,1200,0
71,"106.556809,29.517229","106.473207,29.564749",0,15772,1740,0
72,"106.556809,29.517229","106.481465,29.771363",0,39112,3720,0
73,"106.556809,29.517229","106.481465,29.771363",0,39112,3720,0
74,"106.556809,29.517229","106.641637,29.612773",0,31478,3600,0
75,"106.556809,29.517229","106.55654,29.562133",0,8840,1440,0
76,"106.556809,29.517229","106.57571,29.580888",0,9844,1380,0
77,"106.556809,29.517229","106.575313,29.577264",0,9220,1260,0
78,"106.556809,29.517229","106.577057,29.578312",0,10270,1440,0
79,"106.556809,29.517229","106.324981,29.525253",0,34959,4080,0
80,"106.556809,29.517229","106.54485,29.416135",0,16072,1860,0
81,"106.556809,29.517229","106.538812,29.657252",0,22160,2820,0
82,"106.556809,29.517229","106.538812,29.657252",0,22160,2820,0
83,"106.556809,29.517229","106.590121,29.568028",0,9596,1500,0
84,"106.556809,29.517229","106.487157,29.628072",0,20376,2100,0
85,"106.556809,29.517229","106.524603,29.541083",0,7581,1260,0
86,"106.556809,29.517229","106.524603,29.541083",0,7581,1260,0
87,"106.556809,29.517229","106.539246,29.599319",0,14078,1680,0
88,"106.556809,29.517229","105.738583,29.70041",0,144509,11940,0
89,"106.556809,29.517229","106.496322,29.619746",0,19732,2040,0
90,"106.556809,29.517229","106.54746,29.415515",0,16381,1920,0
91,"106.556809,29.517229","106.505464,29.554275",0,14590,2040,0
92,"106.556809,29.517229","106.424981,29.816815",0,54707,4380,0
93,"106.556809,29.517229","106.437744,29.834768",0,55738,4500,0
94,"106.556809,29.517229","105.70941,29.703558",0,150957,12780,0
95,"106.556809,29.517229","106.453589,29.540679",0,15622,2040,0
96,"106.556809,29.517229","106.412223,29.811194",0,53332,4140,0
97,"106.556809,29.517229","106.556505,29.562989",0,8612,1380,0
98,"106.556809,29.517229","106.543865,29.425925",0,14754,1680,0
99,"106.556809,29.517229","106.543865,29.425925",0,14754,1680,0
0,"106.569953,29.481373","106.384825,29.676384",0,38916,3240,0
1,"106.569953,29.481373","106.556809,29.517229",0,7270,900,0
2,"106.569953,29.481373","106.57485,29.733029",0,34428,2940,0
3,"106.569953,29.481373","106.515487,29.624322",0,19883,1800,0
4,"106.569953,29.481373","106.563185,29.465776",0,5559,720,0
5,"106.569953,29.481373","106.794496,29.687276",0,46139,2940,0
6,"106.569953,29.481373","106.56982,29.584005",0,12906,1200,0
7,"106.569953,29.481373","106.423114,29.838559",0,58644,4500,0
8,"106.569953,29.481373","106.483385,29.629215",0,23879,2220,0
9,"106.569953,29.481373","106.411922,29.810434",0,54225,3960,0
10,"106.569953,29.481373","106.545594,29.500913",0,15416,1740,0
11,"106.569953,29.481373","106.372849,29.634566",0,43363,3960,0
12,"106.569953,29.481373","106.537811,29.590335",0,15302,1500,0
13,"106.569953,29.481373","106.575366,29.577498",0,12099,1200,0
14,"106.569953,29.481373","106.633012,29.717755",0,39009,3480,0
15,"106.569953,29.481373","106.549654,29.612006",0,17794,1800,0
16,"106.569953,29.481373","106.645588,29.765431",0,45043,4140,0
17,"106.569953,29.481373","106.524153,29.385368",0,17609,2220,0
18,"106.569953,29.481373","106.532099,29.51222",0,12995,1440,0
19,"106.569953,29.481373","106.516043,29.622297",0,21188,1920,0
20,"106.569953,29.481373","106.587459,29.543327",0,7801,1020,0
21,"106.569953,29.481373","106.820019,29.693393",0,47294,3000,0
22,"106.569953,29.481373","106.60369,29.632117",0,35572,3900,0
23,"106.569953,29.481373","106.47412,29.76077",0,38578,3480,0
